WaveLength,MFMS Default,IC Env,PDOM Env
2.60E-07,0.000116976,9.85E-05,9.95E-05
2.70E-07,0.000116976,0.000144735,0.000146197
2.80E-07,0.000116976,0.000131435,0.000132762
2.90E-07,0.000116976,0.000102002,0.000103032
3.00E-07,3.98E-05,4.67E-05,4.72E-05
3.10E-07,0.002427622,0.003002251,3.03E-03
3.20E-07,0.01007426,0.012940844,1.31E-02
3.30E-07,0.030735066,0.039981112,4.04E-02
3.40E-07,0.065261026,0.083589022,8.44E-02
3.50E-07,0.111208436,0.140971966,1.42E-01
3.60E-07,0.135233384,0.17004825,1.72E-01
3.70E-07,0.164217315,0.203327446,2.05E-01
3.80E-07,0.179930035,0.218716118,2.21E-01
3.90E-07,0.191754687,0.227752233,2.30E-01
4.00E-07,0.201167562,0.232697614,2.35E-01
4.10E-07,0.207065112,0.233160594,2.36E-01
4.20E-07,0.207447646,0.228784517,2.31E-01
4.30E-07,0.202193695,0.220446361,2.23E-01
4.40E-07,0.195955309,0.213281079,2.15E-01
4.50E-07,0.1893779,0.207402282,2.09E-01
4.60E-07,0.180866246,0.197979266,2.00E-01
4.70E-07,0.168790863,0.182671876,1.85E-01
4.80E-07,0.158663864,0.169153574,1.71E-01
4.90E-07,0.150884827,0.158539611,1.60E-01
5.00E-07,0.144614532,0.148903443,1.50E-01
5.10E-07,0.137105082,0.13904758,1.40E-01
5.20E-07,0.120338671,0.12368779,1.25E-01
5.30E-07,0.096695531,0.102321547,1.03E-01
5.40E-07,0.079388315,0.083671522,8.45E-02
5.50E-07,0.068137283,0.068340052,6.90E-02
5.60E-07,0.060334858,0.056388622,5.70E-02
5.70E-07,0.052961017,0.046360146,4.68E-02
5.80E-07,0.045931093,0.038571359,3.90E-02
5.90E-07,0.03828132,0.031237032,3.16E-02
6.00E-07,0.031478923,0.025496445,2.58E-02
6.10E-07,0.024570467,0.019900922,2.01E-02
6.20E-07,0.019120536,0.015486734,1.56E-02
6.30E-07,0.013055142,0.010574051,1.07E-02
6.40E-07,0.008781639,0.007112714,7.18E-03
6.50E-07,0.005277718,0.004274703,4.32E-03
6.60E-07,0.003231252,0.002617162,2.64E-03
6.70E-07,0.002074567,0.001680302,1.70E-03
6.80E-07,0.000923076,0.000747648,7.55E-04
6.90E-07,0.000923076,0.000747648,7.55E-04
